sample ID, execution time,W 5A probe , W 30A probe
67,  34568,  68.282,  99.947
68,  35092,  65.297,  104.257
69,  35615,  65.669,  100.235
70,  36139,  66.013,  103.538
71,  36663,  65.147,  101.857
72,  37187,  67.103,  96.845
73,  37710,  63.198,  109.925
74,  38234,  64.995,  103.452
75,  38757,  65.567,  100.043
76,  39280,  64.658,  102.923
77,  39805,  64.278,  99.175
78,  40329,  66.259,  100.300
79,  40852,  66.488,  106.693
80,  41375,  66.972,  103.141
81,  41903,  66.557,  103.321
82,  42426,  65.891,  106.149
83,  42949,  66.016,  111.146
84,  43474,  66.707,  102.667
85,  43998,  68.725,  101.382
86,  44521,  67.518,  105.695
87,  45044,  68.740,  101.319
88,  45568,  66.972,  107.157
89,  46093,  68.378,  103.173
90,  46616,  65.788,  104.410
91,  47139,  67.428,  111.377
92,  47665,  68.576,  110.599
93,  48188,  70.725,  111.607
94,  48711,  67.256,  113.151
95,  49234,  68.066,  99.463
96,  49758,  66.199,  104.380
97,  50281,  67.210,  99.463
98,  50807,  68.630,  101.541
99,  51330,  65.911,  105.998
100,  51854,  65.265,  96.180
sample ID, execution time,W 5A probe , W 30A probe
2,  526,  68.441,  103.173
3,  1050,  67.354,  102.792
4,  1574,  67.110,  111.578
5,  2097,  67.542,  113.745
6,  2620,  66.481,  105.421
7,  3146,  65.401,  123.751
8,  3669,  67.551,  167.166
9,  4192,  66.042,  100.300
10,  4716,  65.004,  113.713
11,  5240,  66.897,  136.514
12,  5764,  67.870,  434.491
13,  6287,  68.342,  297.981
14,  6813,  68.256,  159.456
15,  7337,  66.484,  197.387
16,  7860,  67.675,  126.981
17,  8383,  68.491,  245.054
18,  8909,  68.388,  201.667
19,  9432,  67.444,  172.871
20,  9955,  66.998,  165.951
21,  10479,  67.910,  110.831
22,  11003,  66.132,  174.001
23,  11526,  67.102,  174.701
24,  12050,  67.322,  132.696
25,  12575,  66.862,  113.854
26,  13098,  65.381,  104.901
27,  13621,  67.569,  102.329
28,  14146,  69.132,  109.931
29,  14670,  67.706,  125.121
30,  15193,  67.845,  105.238
31,  15719,  66.306,  110.508
32,  16244,  67.579,  109.552
33,  16767,  66.564,  106.059
34,  17290,  67.025,  108.750
35,  17815,  68.004,  106.647
36,  18339,  65.823,  105.846
37,  18862,  67.296,  105.482
38,  19385,  65.972,  107.233
39,  19909,  65.948,  104.799
40,  20434,  67.985,  103.141
41,  20957,  66.556,  102.360
42,  21480,  66.457,  102.548
43,  22005,  65.274,  100.204
44,  22528,  65.912,  106.512
45,  23051,  67.598,  105.054
46,  23576,  66.886,  110.975
47,  24100,  68.338,  100.842
48,  24625,  67.460,  104.932
49,  25149,  66.691,  102.485
50,  25674,  68.136,  106.346
51,  26197,  65.452,  106.993
52,  26720,  65.652,  110.711
53,  27243,  68.462,  104.503
54,  27767,  68.351,  101.224
55,  28294,  67.257,  111.261
56,  28818,  66.848,  110.595
57,  29343,  67.531,  94.375
58,  29866,  66.608,  94.427
59,  30389,  66.112,  102.736
60,  30913,  68.055,  100.491
61,  31437,  69.572,  103.421
62,  31960,  65.337,  103.669
63,  32483,  64.267,  94.189
64,  33010,  65.568,  101.127
65,  33534,  65.693,  95.409
66,  34057,  64.978,  95.206
67,  34579,  64.886,  96.046
68,  35104,  65.540,  100.491
69,  35627,  66.279,  101.762
70,  36149,  66.053,  101.766
71,  36673,  64.187,  93.899
72,  37197,  66.345,  112.923
73,  37720,  65.394,  98.229
74,  38243,  66.065,  101.382
75,  38767,  66.081,  101.317
76,  39291,  65.176,  146.720
77,  39813,  65.809,  102.329
78,  40336,  65.143,  96.812
79,  40859,  63.962,  90.927
80,  41383,  63.621,  93.091
81,  41908,  63.427,  90.573
sample ID, execution time,W 5A probe , W 30A probe
2,  525,  65.394,  102.611
3,  1048,  66.110,  102.423
4,  1572,  65.508,  97.770
5,  2095,  65.572,  108.780
6,  2618,  66.719,  128.340
7,  3141,  65.247,  101.572
8,  3665,  66.379,  177.002
9,  4188,  65.766,  95.543
10,  4711,  67.194,  95.543
11,  5236,  66.432,  105.256
12,  5758,  68.745,  386.071
13,  6280,  67.313,  360.877
14,  6803,  66.980,  126.067
15,  7327,  66.177,  205.722
16,  7850,  64.031,  105.482
17,  8375,  66.777,  240.343
18,  8898,  65.899,  218.546
19,  9422,  65.927,  136.937
20,  9945,  65.180,  185.803
21,  10468,  66.549,  140.708
22,  10991,  67.081,  100.874
23,  11515,  65.386,  173.835
24,  12038,  65.347,  173.168
25,  12561,  65.918,  136.514
26,  13085,  65.886,  100.043
27,  13608,  66.549,  102.579
28,  14131,  65.469,  99.528
29,  14655,  65.464,  100.236
30,  15178,  65.448,  101.067
31,  15701,  66.916,  96.413
32,  16224,  65.885,  115.538
33,  16748,  64.579,  100.395
34,  17274,  65.918,  106.301
