
muestra, tiempo ejecucion, sonda extra , sonda dut
28 ,14123 ,0.46841,2.34206
29 ,14627 ,0.42553,2.12764
30 ,15131 ,0.41063,2.05313
31 ,15635 ,0.40781,2.03905
32 ,16140 ,0.38939,1.94694
33 ,16648 ,0.38714,1.93570
34 ,17152 ,0.36624,1.83120
35 ,17656 ,0.36925,1.84623
36 ,18160 ,0.35748,1.78738
37 ,18664 ,0.36486,1.82431
38 ,19169 ,0.36522,1.82609
39 ,19673 ,0.36399,1.81993
40 ,20177 ,0.36148,1.80741
41 ,20681 ,0.37031,1.85155
42 ,21185 ,0.35697,1.78487
43 ,21690 ,0.36784,1.83921
44 ,22195 ,0.36091,1.80454
45 ,22699 ,0.36311,1.81555
46 ,23203 ,0.37951,1.89756
47 ,23707 ,0.35704,1.78518
48 ,24212 ,0.25887,1.29436
49 ,24716 ,0.37402,1.87012
50 ,25221 ,0.32406,1.62029
51 ,25728 ,0.37626,1.88128
52 ,26232 ,0.30357,1.51786
53 ,26736 ,0.31922,1.59612
54 ,27241 ,0.28704,1.43522
55 ,27745 ,0.33424,1.67119
56 ,28249 ,0.40487,2.02434
57 ,28753 ,0.37050,1.85248
58 ,29257 ,0.37651,1.88253
59 ,29762 ,0.31021,1.55104
60 ,30266 ,0.30276,1.51380
61 ,30772 ,0.29664,1.48320
62 ,31276 ,0.30038,1.50190
63 ,31780 ,0.30151,1.50753
64 ,32284 ,0.29500,1.47498
65 ,32789 ,0.23790,1.18950
66 ,33293 ,0.24973,1.24867
67 ,33798 ,0.28902,1.44510
68 ,34303 ,0.24598,1.22988
69 ,34809 ,0.23540,1.17698
70 ,35314 ,0.23715,1.18574
71 ,35818 ,0.23258,1.16289
72 ,36323 ,0.23218,1.16092
73 ,36828 ,0.24368,1.21838
74 ,37332 ,0.24773,1.23864
75 ,37837 ,0.23471,1.17353
76 ,38341 ,0.23571,1.17854
77 ,38846 ,0.23452,1.17259
78 ,39350 ,0.23050,1.15249
79 ,39855 ,0.23408,1.17040
80 ,40359 ,0.23402,1.17009
81 ,40863 ,0.22688,1.13440
82 ,41368 ,0.22532,1.12658
83 ,41873 ,0.22844,1.14218
84 ,42378 ,0.22738,1.13688
85 ,42882 ,0.23552,1.17760
86 ,43386 ,0.25299,1.26494
87 ,43891 ,0.24184,1.20922
88 ,44397 ,0.26150,1.30751
89 ,44901 ,0.56977,2.84883
90 ,45407 ,0.46421,2.32106
91 ,45911 ,0.42008,2.10040
92 ,46415 ,0.42421,2.12106
93 ,46919 ,0.35685,1.78425
94 ,47423 ,0.37839,1.89193

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,505 ,0.40224,2.01119
2 ,1010 ,0.42287,2.11433
3 ,1515 ,0.33742,1.68712
4 ,2019 ,0.32443,1.62217
5 ,2523 ,0.36442,1.82212
6 ,3027 ,0.32141,1.60707
7 ,3531 ,0.29531,1.47654
8 ,4035 ,0.29362,1.46809
9 ,4539 ,0.30807,1.54035
10 ,5043 ,0.46146,2.30731
11 ,5550 ,0.53164,2.65822
12 ,6054 ,0.35785,1.78925
13 ,6558 ,0.37469,1.87346
14 ,7062 ,0.28855,1.44273
15 ,7567 ,0.39339,1.96693
16 ,8072 ,0.62335,3.11677
17 ,8576 ,0.58636,2.93180
18 ,9080 ,0.45345,2.26724
19 ,9584 ,0.47236,2.36178
20 ,10088 ,0.51999,2.59994
21 ,10593 ,0.54422,2.72110
22 ,11098 ,0.47868,2.39339
23 ,11602 ,0.43742,2.18711
24 ,12106 ,0.44694,2.23469
25 ,12611 ,0.61711,3.08554
26 ,13115 ,0.73471,3.67357
27 ,13619 ,0.60339,3.01694
28 ,14123 ,0.43266,2.16332
29 ,14630 ,0.42615,2.13076
30 ,15134 ,0.40662,2.03310
31 ,15638 ,0.39109,1.95547
32 ,16142 ,0.38139,1.90697
33 ,16647 ,0.36856,1.84278
34 ,17151 ,0.37206,1.86031
35 ,17655 ,0.40336,2.01682
36 ,18159 ,0.38051,1.90257
37 ,18663 ,0.37028,1.85138
38 ,19169 ,0.36291,1.81453
39 ,19673 ,0.36893,1.84466
40 ,20177 ,0.36768,1.83840
41 ,20681 ,0.36518,1.82588
42 ,21185 ,0.36255,1.81273
43 ,21690 ,0.36309,1.81547
44 ,22194 ,0.37244,1.86219
45 ,22698 ,0.36411,1.82056
46 ,23202 ,0.37156,1.85781
47 ,23709 ,0.34514,1.72571
48 ,24214 ,0.26685,1.33424
49 ,24719 ,0.36634,1.83171
50 ,25223 ,0.36868,1.84341
51 ,25727 ,0.31171,1.55855
52 ,26231 ,0.30990,1.54948
53 ,26736 ,0.32423,1.62116
54 ,27240 ,0.30645,1.53223
55 ,27746 ,0.29664,1.48320
56 ,28250 ,0.28160,1.40799
57 ,28754 ,0.28786,1.43929
58 ,29258 ,0.30633,1.53163
59 ,29763 ,0.28216,1.41081
60 ,30267 ,0.30095,1.50475
61 ,30771 ,0.26851,1.34257
62 ,31275 ,0.23715,1.18574
63 ,31780 ,0.28391,1.41957
64 ,32284 ,0.25418,1.27088
65 ,32790 ,0.23256,1.16279
66 ,33296 ,0.24774,1.23868
67 ,33802 ,0.22894,1.14468
68 ,34306 ,0.23277,1.16383
69 ,34811 ,0.23396,1.16978
70 ,35315 ,0.22876,1.14380
71 ,35819 ,0.23464,1.17322
72 ,36323 ,0.23834,1.19169
73 ,36827 ,0.23045,1.15225
74 ,37331 ,0.25850,1.29248
75 ,37836 ,0.24529,1.22643
76 ,38340 ,0.23064,1.15319
77 ,38845 ,0.23044,1.15218
78 ,39350 ,0.23156,1.15780
79 ,39855 ,0.23859,1.19294
80 ,40359 ,0.23984,1.19920
81 ,40863 ,0.24084,1.20421
82 ,41368 ,0.23690,1.18449
83 ,41872 ,0.23187,1.15936
84 ,42380 ,0.47140,2.35698
85 ,42884 ,0.44994,2.24971
86 ,43388 ,0.42046,2.10228
87 ,43892 ,0.38327,1.91634

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,505 ,0.31415,1.57076
2 ,1009 ,0.34527,1.72633
3 ,1513 ,0.28890,1.44448
4 ,2017 ,0.32893,1.64464
5 ,2521 ,0.32329,1.61646
6 ,3025 ,0.32054,1.60269
7 ,3529 ,0.27803,1.39014
8 ,4033 ,0.31794,1.58969
9 ,4539 ,0.33774,1.68868
10 ,5044 ,0.59256,2.96281
11 ,5548 ,0.41488,2.07442
12 ,6052 ,0.38008,1.90038
13 ,6556 ,0.30933,1.54666
14 ,7063 ,0.26116,1.30582
15 ,7568 ,0.40975,2.04875
16 ,8072 ,0.55355,2.76777
17 ,8576 ,0.57666,2.88328
18 ,9080 ,0.58705,2.93524
19 ,9584 ,0.57553,2.87765
20 ,10088 ,0.76419,3.82097
21 ,10593 ,0.72497,3.62486
22 ,11097 ,0.60934,3.04668
23 ,11601 ,0.49452,2.47259
24 ,12105 ,0.50122,2.50608
25 ,12609 ,0.69199,3.45997
26 ,13114 ,0.63884,3.19422
27 ,13618 ,0.61923,3.09614
28 ,14122 ,0.52469,2.62347
29 ,14626 ,0.44731,2.23657
30 ,15132 ,0.42355,2.11776
31 ,15636 ,0.41400,2.06999
32 ,16140 ,0.37475,1.87377
33 ,16647 ,0.36624,1.83120
34 ,17151 ,0.36674,1.83370
35 ,17655 ,0.40781,2.03905
36 ,18160 ,0.38046,1.90229
37 ,18665 ,0.36765,1.83827
38 ,19169 ,0.36148,1.80741
39 ,19673 ,0.35604,1.78018
40 ,20177 ,0.36762,1.83809
41 ,20681 ,0.38408,1.92041
42 ,21186 ,0.36872,1.84358
43 ,21691 ,0.36116,1.80579
44 ,22195 ,0.36524,1.82619
45 ,22699 ,0.36392,1.81962
46 ,23204 ,0.36774,1.83871
47 ,23708 ,0.36205,1.81023
48 ,24212 ,0.35291,1.76457
49 ,24716 ,0.26689,1.33443
50 ,25221 ,0.36718,1.83589
51 ,25727 ,0.34646,1.73228
52 ,26232 ,0.31985,1.59925
53 ,26736 ,0.36104,1.80522
54 ,27240 ,0.34098,1.70492
55 ,27744 ,0.26075,1.30375
56 ,28249 ,0.22031,1.10154
57 ,28753 ,0.22694,1.13472
58 ,29257 ,0.22694,1.13472
59 ,29761 ,0.22325,1.11625
60 ,30266 ,0.24080,1.20402
61 ,30770 ,0.36593,1.82963
62 ,31275 ,0.26081,1.30406
63 ,31779 ,0.23859,1.19294
64 ,32283 ,0.24723,1.23614
65 ,32787 ,0.24798,1.23989
66 ,33291 ,0.23971,1.19857
67 ,33795 ,0.22895,1.14473
68 ,34300 ,0.22945,1.14724
69 ,34807 ,0.23007,1.15037
70 ,35312 ,0.23050,1.15249
71 ,35816 ,0.25804,1.29021
72 ,36321 ,0.22907,1.14536
73 ,36825 ,0.23007,1.15037
74 ,37330 ,0.23408,1.17040
75 ,37834 ,0.24710,1.23551
76 ,38338 ,0.23375,1.16873
77 ,38844 ,0.22800,1.14000
78 ,39348 ,0.23145,1.15726
79 ,39852 ,0.23051,1.15256
80 ,40357 ,0.23677,1.18386
81 ,40861 ,0.37000,1.84998
82 ,41365 ,0.45765,2.28827
